x1,x2,x3,y
0.17152521,0.34391687,0.24873720,-0.11212220
0.24211446,0.64407427,0.27243281,-0.08796286
0.53490572,0.39850092,0.17338873,-0.11141465
0.49258141,0.61159319,0.34017639,-0.03483531
0.13462167,0.21991724,0.45820622,-0.04800758
0.34552327,0.94135983,0.26936348,-0.11062091
0.15183663,0.43999062,0.99088187,-0.39892551
0.64550284,0.39714294,0.91977134,-0.11386851
0.74691195,0.28419631,0.22629985,-0.13146061
0.17047699,0.69703240,0.14916943,-0.09418956
0.22054934,0.29782524,0.34355534,-0.04694741
0.66601366,0.67198515,0.24629530,-0.10596504
0.04680895,0.23136024,0.77061759,-0.11804826
0.60009728,0.72513573,0.06608864,-0.03637783
0.96599485,0.86111969,0.56682913,-0.05675837
