x1,x2,x3,x4,y
0.19144708,0.03819337,0.60741781,0.41458414,64.4434399
0.75865295,0.53651774,0.65600038,0.36034155,18.3013796
0.43834987,0.80433970,0.21024527,0.15129482,0.112939795
0.70605083,0.53419196,0.26424335,0.48208755,4.21089813
0.83647799,0.19360965,0.66389270,0.78564888,258.370525
0.68343225,0.11866264,0.82904591,0.56757661,78.4343889
0.55362148,0.66734998,0.32380582,0.81486975,57.5715369
0.35235627,0.32224153,0.11697937,0.47311252,109.571876
0.15378571,0.72938169,0.42259844,0.44307417,8.84799176
0.46344227,0.63002451,0.10790646,0.95764390,233.223610
0.67749115,0.35850951,0.47959222,0.07288048,24.4230883
0.58397341,0.14724265,0.34809746,0.42861465,64.4201468
0.30688872,0.31687813,0.62263448,0.09539906,63.4767158
0.51114177,0.81795700,0.72871042,0.11235362,79.7291299
0.43893338,0.77409176,0.37816709,0.93369621,355.806818
0.22418902,0.84648049,0.87948418,0.87851568,1088.85962
0.72526172,0.47987049,0.08894684,0.75976022,28.8667516
0.35548161,0.63961937,0.41761768,0.12260384,45.1815703
0.11987923,0.86254031,0.64333133,0.84980383,431.612757
0.12688467,0.15342962,0.77016219,0.19051811,9.97233189
