x1,x2,x3,x4,x5,y
0.72818610,0.15469257,0.73255167,0.69399651,0.05640131,-0.71426495
0.24238435,0.84409997,0.57780910,0.67902128,0.50195289,-1.20995524
0.72952261,0.74810620,0.67977464,0.35655228,0.67105368,-1.67219994
0.77062024,0.11440374,0.04677993,0.64832428,0.27354905,-1.53605771
0.61881230,0.33180214,0.18728787,0.75623847,0.32883480,-0.82923655
0.78495809,0.91068235,0.70812010,0.95922543,0.00491150,-1.24704893
0.14511079,0.89668460,0.89632223,0.72627154,0.23627199,-1.23378638
0.94506907,0.28845905,0.97880576,0.96165559,0.59801594,-1.69434344
0.12572016,0.86272469,0.02854433,0.24660527,0.75120624,-2.57116963
0.75759436,0.35583141,0.01652290,0.43420720,0.11243304,-1.30911635
0.53679690,0.30878091,0.41187929,0.38822518,0.52252830,-1.14478485
0.95773967,0.23566857,0.09914585,0.15680593,0.07131737,-1.91267714
0.62930790,0.80348368,0.81140844,0.04561319,0.11062446,-1.62283895
0.02173531,0.42808424,0.83593944,0.48948866,0.51108173,-1.35668211
0.43934426,0.69892383,0.42682022,0.10947609,0.87788847,-2.01842540
0.25890557,0.79367771,0.64211390,0.19667346,0.59310318,-1.70255784
0.43216593,0.71561781,0.34181910,0.70499988,0.61496184,-1.29424696
0.78287982,0.53633586,0.44328356,0.85969983,0.01032599,-0.93575656
0.92177620,0.93187122,0.41487637,0.59505727,0.73562569,-2.15576776
0.12667892,0.29147030,0.06452848,0.68051460,0.89281919,-1.74688209
